Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle
79414,1,Flex,>>,732,75.43,573,528,748,32.575720718211414,82.144,-3.35799999999999,2
79525,1,Flex,>>,693,72.35,581,532,751,31.90412259524304,78.804,-3.3400000000000034,2
79635,1,Flex,>>,654,69.27,586,536,754,31.88140591527899,75.532,-3.2720000000000056,2
79748,1,Flex,>>,615,65.85,597,544,761,31.852513560680407,72.298,-3.2339999999999947,2
79859,1,Flex,>>,576,62.42,589,540,757,31.70371682132155,69.064,-3.234000000000009,2
79971,1,Flex,<<,576,59.52,594,547,767,31.54667031190429,65.882,-3.181999999999988,2
80082,1,Flex,<<,615,58.99,593,549,769,31.63944545839405,63.21,-2.672000000000004,2
80194,1,Flex,<<,654,58.99,612,563,784,31.515787596681196,61.15400000000001,-2.0559999999999903,2
80305,1,Flex,<<,693,58.99,606,560,784,31.3062204629191,59.782,-1.372000000000014,2
80416,1,Flex,<<,732,61.19,605,556,778,31.292330942977173,59.536,-0.2459999999999951,2
104314,1,Flex,>>,2760,247.74,395,362,544,47.00935253800508,253.15200000000004,-0.7719999999999914,3
104425,1,Flex,>>,2721,244.4,395,363,543,47.73133881830394,250.762,-2.390000000000043,3
104537,1,Flex,>>,2682,240.97,395,361,545,48.80927305793273,247.686,-3.0759999999999934,3
104649,1,Flex,>>,2643,237.63,399,364,546,49.92047776568327,244.36400000000003,-3.3219999999999743,3
104760,1,Flex,>>,2604,234.37,399,363,548,51.237763838063486,241.02200000000002,-3.342000000000013,3
104872,1,Flex,>>,2565,230.95,400,362,545,52.68904941486193,237.664,-3.3580000000000325,3
104983,1,Flex,>>,2526,227.78,402,361,542,53.83737034025592,234.33999999999997,-3.3240000000000123,3
105094,1,Flex,>>,2487,224.53,405,362,543,55.25751078462892,231.052,-3.2879999999999825,3
105206,1,Flex,>>,2448,221.19,407,362,543,57.09933437898151,227.76399999999998,-3.288000000000011,3
105317,1,Flex,>>,2409,217.76,411,361,542,58.68585087310804,224.442,-3.3219999999999743,3
105428,1,Flex,>>,2370,214.42,418,361,542,60.13062529135709,221.13599999999997,-3.30600000000004,3
105538,1,Flex,>>,2331,211.08,419,360,541,61.13166988842322,217.796,-3.339999999999975,3
105649,1,Flex,>>,2292,207.65,424,363,537,61.906137420077286,214.42,-3.3760000000000048,3
105760,1,Flex,>>,2253,204.31,432,360,541,62.44828695721388,211.044,-3.3759999999999764,3
105872,1,Flex,>>,2214,200.97,435,360,543,62.93718486023076,207.686,-3.358000000000004,3
105983,1,Flex,>>,2175,197.63,442,358,540,63.44108453928341,204.328,-3.358000000000004,3
106094,1,Flex,>>,2136,194.2,457,362,542,63.779583964064166,200.952,-3.3760000000000048,3
106205,1,Flex,>>,2097,190.59,455,360,539,63.89368003017975,197.54000000000002,-3.4119999999999777,3
